id,code,loc_ru,loc_en,name_ru,name_en
71122,71122000,"Плщ",Poly,"плантации древесно тех. культур",
71123,71123000,"Плщ",Poly,"фруктовые и цитрусовые сады",
71131,71131000,"Лин",Line,"обсад. вдоль дорог, рек",
711321,71132100,"Точ",Point,"деревья (не имеющ. знач ориент.)",
7113221,71132210,"Точ",Point,"деревья ориентиры (хвойные)",
7113222,71132220,"Точ",Point,"деревья ориентиры (лиственные)",
7113223,71132230,"Точ",Point,"отдельные пальмы (ориентиры)",
712111Point,71211100,"Точ",Point,"кустарники колючие",
712111Poly,71211100,"Плщ",Poly,"кустарники колючие (отд. группы)",
712112Line,71211200,"Точ, Лин","Point, Line","кустарники обычные",
712112Poly,71211200,"Плщ",Poly,"кустарники обыч. (сплош. зарос.)",
71212,71212000,"Плщ",Poly,"бамбук",
71213,71213000,"Плщ",Poly,"мангровые заросли",
71214Point,71214000,"Точ",Point,"саксаул",
71214Poly,71214000,"Плщ",Poly,"саксаул (отдельные группы)",
71221,71221000,"Плщ",Poly,"плантации кустар. тех. культур",
71222,71222000,"Точ, Плщ","Point, Poly","виноградники",
71223,71223000,"Плщ",Poly,"ягодные сады",
712243,71224300,"Лин, Век","Line, Vect","кустарниковая обсадка",
71311,71311000,"Плщ",Poly,"камышовая и тростников. растит.",
71312,71312000,"Плщ",Poly,"высокотравная растительность",
71314,71314000,"Плщ",Poly,"луговая растительность",
71315,71315000,"Плщ",Poly,"степная травянистая растит.",
71321,71321000,"Плщ",Poly,"плантации травян. тех. культур",
713221,71322100,"Плщ",Poly,"рисовые поля (затопляемые)",
713222,71322200,"Плщ",Poly,"рисовые поля (увлажняемые)",
71323,71323000,"Лин, Плщ, Век","Line, Poly, Vect","парники, теплицы, оранжереи",
713241,71324100,"Плщ",Poly,"пашни",
7141,71410000,"Плщ",Poly,"полукустарники",
715,71500000,"Плщ",Poly,"моховая и лишайниковая растит.",
7161,71610000,"Лин, Плщ","Line, Poly","просеки",
7162,71620000,"Плщ",Poly,"лесные кварталы",
7163,71630000,"Плщ",Poly,"поляны",
7211,72110000,"Плщ",Poly,"каменистые поверхности",
7212,72120000,"Плщ",Poly,"камен. россыпи и щебен. поверхн.",
7213,72130000,"Лин, Плщ","Line, Poly","каменные реки",
722211,72221100,"Плщ",Poly,"полигональные поверхности",
72222,72222000,"Плщ",Poly,"поверхности с буграми",
72223,72223000,"Плщ",Poly,"кочковатые поверхности",
72231,72231000,"Плщ",Poly,"галечниковые и гравийн. поверх.",
7224,72240000,"Точ, Плщ","Point, Poly","такыры",
722511,72251100,"Плщ",Poly,"пески барханные",
722512,72251200,"Плщ",Poly,"пески грядовые и дюнные",
